player_name,player_height,pts,reb,ast,label
Lawrence Moten,195.58,6.7,1.8,1.9,1
Lee Mayberry,185.42,5.1,1.7,4.1,1
Lindsey Hunter,187.96,14.2,2.8,1.9,1
Lionel Simmons,200.66,3.4,2.5,1.4,0
Litterial Green,185.42,2.0,0.5,0.9,1
Lloyd Daniels,200.66,4.5,2.0,1.2,0
Kerry Kittles,195.58,16.4,3.9,3.0,4
Kenny Smith,190.5,6.3,0.9,2.4,1
Kenny Anderson,185.42,17.5,4.4,7.1,4
Kendall Gill,195.58,21.8,6.1,4.0,4
Jim Jackson,198.12,15.9,5.3,4.1,4
Popeye Jones,203.2,7.8,8.6,1.1,3
Jimmy Carruth,208.28,1.3,1.0,0.0,0
Jimmy King,195.58,3.0,1.0,1.0,0
Jimmy Oliver,195.58,2.8,1.3,0.3,0
Joe Courtney,203.2,2.8,1.8,0.0,0
Joe Dumars,190.5,14.7,2.4,4.0,4
Joe Kleine,213.36,2.8,3.4,0.6,0
Joe Smith,208.28,18.7,8.5,1.6,2
Joe Stephens,200.66,1.5,1.5,0.0,0
Joe Wolf,210.82,1.7,2.0,0.4,0
Loren Meyer,208.28,4.9,2.7,0.4,0
John Crotty,187.96,4.8,1.0,2.1,1
John Starks,195.58,13.8,2.7,2.8,1
John Stockton,185.42,14.4,2.8,10.5,4
John Wallace,205.74,4.8,2.3,0.5,0
Johnny Newman,200.66,8.7,2.3,1.4,3
Jon Barry,195.58,4.9,1.7,2.0,1
Jud Buechler,198.12,1.8,1.7,0.8,0
Juwan Howard,205.74,19.1,8.0,3.8,2
Karl Malone,205.74,27.4,9.9,4.5,2
Keith Askins,203.2,4.9,3.5,1.0,0
Keith Tower,210.82,1.4,1.8,0.2,0
Ken Norman,203.2,3.8,2.3,0.7,0
John Long,195.58,4.0,1.3,0.7,0
Lorenzen Wright,210.82,7.3,6.1,0.6,3
Jim McIlvaine,215.9,3.8,4.0,0.3,0
Lou Roe,200.66,2.4,0.8,0.4,0
Michael Curry,195.58,3.9,1.5,0.5,0
Michael Finley,200.66,15.0,4.5,2.7,3
Michael Hawkins,182.88,2.8,1.1,2.2,1
Michael Jordan,198.12,29.6,5.9,4.3,4
Michael Smith,203.2,6.5,9.5,2.4,2
Mike Brown,208.28,2.7,4.2,0.8,0
Mitch Richmond,195.58,25.9,3.9,4.2,4
Mitchell Butler,195.58,3.0,1.1,0.6,0
Monty Williams,203.2,9.0,3.2,1.4,3
Moochie Norris,187.96,1.5,1.5,2.9,1
Mookie Blaylock,185.42,17.4,5.3,5.9,4
Michael Cage,205.74,1.8,3.9,0.5,0
Muggsy Bogues,160.02,8.0,2.2,7.2,4
Nate McMillan,195.58,4.6,3.2,3.8,1
Nick Anderson,198.12,12.0,4.8,2.9,3
Nick Van Exel,185.42,15.3,2.9,8.5,4
Olden Polynice,213.36,12.5,9.4,2.2,2
Oliver Miller,205.74,4.8,5.0,1.4,3
Othella Harrington,205.74,4.8,3.5,0.3,0
Otis Thorpe,208.28,13.1,7.9,1.7,2
P.J. Brown,210.82,9.5,8.4,1.2,2
Patrick Ewing,213.36,22.4,10.7,2.0,2
Pervis Ellison,205.74,2.5,4.3,0.7,0
Lorenzo Williams,205.74,2.4,3.6,0.2,0
Nate Driggers,195.58,2.4,1.5,0.4,0
Melvin Booker,187.96,5.8,1.4,2.5,1
Pete Chilcutt,208.28,3.4,2.9,0.9,0
Matt Maloney,190.5,9.4,2.0,3.7,1
Matt Steigenga,200.66,1.5,1.5,1.0,0
Loy Vaught,205.74,14.9,10.0,1.3,2
Luc Longley,218.44,9.1,5.6,2.4,3
Lucious Harris,195.58,5.4,1.3,0.9,1
Mahmoud Abdul-Rauf,185.42,13.7,1.6,2.5,1
Malik Rose,200.66,3.0,3.0,0.6,0
Malik Sealy,203.2,13.5,3.0,2.1,3
Marcus Camby,210.82,14.8,6.3,1.5,2
Mario Elie,195.58,11.7,3.0,4.0,4
Mark Bradtke,208.28,1.6,1.9,0.2,0
Mark Bryant,205.74,9.3,5.2,1.1,3
Marcus Brown,190.5,3.9,0.7,1.0,1
Mark Hendrickson,205.74,2.9,3.2,0.1,0
Mark Jackson,190.5,9.9,4.8,11.4,4
Mark Price,182.88,11.3,2.6,4.9,4
Mark Strickland,208.28,2.0,1.2,0.0,0
Matt Geiger,215.9,8.9,5.3,0.8,3
Mark West,208.28,3.2,2.7,0.3,0
Martin Lewis,198.12,1.6,0.7,0.4,0
Martin Muursepp,205.74,3.7,1.6,0.5,0
Marty Conlon,210.82,7.8,4.4,1.4,3
Matt Bullard,208.28,4.5,1.6,0.9,0
Matt Fish,210.82,0.3,0.8,0.0,0
Mark Davis,200.66,8.5,4.3,1.8,3
Marko Milic,198.12,2.8,0.8,0.4,0
Martin Muursepp,205.74,5.7,2.8,0.7,0
Marty Conlon,210.82,4.9,2.6,0.7,0
Matt Bullard,208.28,7.0,2.2,0.9,0
Michael Curry,195.58,6.6,1.2,1.7,1
Matt Maloney,190.5,8.6,1.8,2.8,1
Maurice Taylor,205.74,11.5,4.2,0.7,3
Michael Cage,205.74,1.3,3.9,0.4,0
Mark West,208.28,1.5,1.0,0.1,0
Matt Geiger,215.9,11.3,6.7,1.0,3
Mark Strickland,208.28,6.8,4.2,0.5,3
Mahmoud Abdul-Rauf,185.42,7.3,1.2,1.9,1
Mark Pope,208.28,1.4,0.9,0.3,0
